=============Wed Jul 29 2020 15:43:04 GMT+1000 (Australian Eastern Standard Time)=============
DPZ,782.67,44.16,194.56203662862214
LULU,681.15,46.23,169.325479695236
NVDA,924.36,48.34,229.78564841847276
FB,516.14,49.02,128.30737162519955
MKTX,1208.22,52.80,300.3496884302002
GLOB,416.88,54.49,103.63227029843533
PAYC,703.69,55.83,174.92866336754298
ATVI,217.82,60.93,54.146957331305195
PYPL,533.27,63.31,132.5649720242425
TEAM,520.59,63.40,129.41362673470772
ASML,1012.51,63.78,251.69715871632005
TTD,1312.14,69.28,326.183093339067
NOW,1478.85,76.55,367.6257306628404
STAA,219.26,81.50,54.504476808647425
DOCU,831.95,84.38,206.8130968966731
AMZN,12550.77,87.86,3119.9761932823017
NFLX,2207.94,94.07,548.8684097211478
AMD,363.54,95.48,90.37277485121699
ZM,1272.17,101.09,316.2459857594186
ETSY,600.71,104.15,149.3299978671402
NTES,3760.92,131.75,934.9210676160257
JD,567.53,137.28,141.08046638629622
NVCR,798.39,145.99,198.46941442368762
SHOP,50161.03,240.30,12469.448488197644
TSLA,5505189.64,510.51,1368526.1055278918
=============Sun Aug 02 2020 23:12:06 GMT+1000 (Australian Eastern Standard Time)=============
SCHW,26.01,-15.86,6.466905848554061
DIS,116.35,0.37,28.92398586045614
MMM,169.50,6.72,42.135355958711486
SBUX,87.59,8.30,21.773057779029024
GOOG,2058.55,18.38,511.7323755316458
EPR,42.43,20.96,10.547812380583162
ZTS,209.21,21.04,52.00721864256019
QDEL,383.26,21.65,95.27414733689196
ANET,360.72,22.93,89.67040431470228
NEE,417.75,24.34,103.84715296539562
HAS,109.77,25.67,27.287610895153453
ICE,144.37,26.42,35.88856253463729
BAM,52.63,28.00,13.083801202855597
WD,80.63,29.47,20.043325258458115
GMED,82.47,31.18,20.50179917104543
AAPL,648.84,32.47,161.2939170401045
MTCH,177.33,34.15,44.081852446697624
CHDN,244.99,35.18,60.90065420772643
ZNGA,17.51,36.62,4.351973274980743
MA,563.04,37.28,139.96532477015148
MA,563.04,37.28,139.96532477015148
COUP,569.33,39.20,141.52793942292274
EA,277.06,43.04,68.87509424102724
MSFT,409.29,43.29,101.745
CGNX,132.62,43.38,32.967000000000006
KNSL,333.89,43.45,83.001
DPZ,782.67,44.16,194.56203662862214
LULU,681.15,46.23,169.325479695236
NVDA,924.36,48.34,229.78564841847276
FB,516.14,49.02,128.30737162519955
MKTX,1208.22,52.80,300.3496884302002
GLOB,416.88,54.49,103.63227029843533
PAYC,703.69,55.83,174.92866336754298
ATVI,217.82,60.93,54.146957331305195
PYPL,533.27,63.31,132.5649720242425
TEAM,520.59,63.40,129.41362673470772
ASML,1012.51,63.78,251.69715871632005
TTD,1312.14,69.28,326.183093339067
NOW,1478.85,76.55,367.6257306628404
STAA,219.26,81.50,54.504476808647425
DOCU,831.95,84.38,206.8130968966731
AMZN,12550.77,87.86,3119.9761932823017
NFLX,2207.94,94.07,548.8684097211478
AMD,363.54,95.48,90.37277485121699
ZM,1272.17,101.09,316.2459857594186
ETSY,600.71,104.15,149.3299978671402
NTES,3760.92,131.75,934.9210676160257
JD,567.53,137.28,141.08046638629622
NVCR,798.39,145.99,198.46941442368762
SHOP,50161.03,240.30,12469.448488197644
TSLA,5505189.64,510.51,1368526.1055278918
